GEO_ID,NAME,estimate_2020,estimate_2021,estimate_2022,chg_20_21,chg_21_22,chg_20_22,pct_chg_20_21,pct_chg_21_22,pct_chg_20_22,county
1400000US06001430200,"Census Tract 4302, Alameda County, California",7115,7548,7713,433,165,598,6.09,2.19,8.4,Alameda County
1400000US06001430300,"Census Tract 4303, Alameda County, California",3947,4112,4290,165,178,343,4.18,4.33,8.69,Alameda County
1400000US06001430400,"Census Tract 4304, Alameda County, California",2108,2212,2155,104,-57,47,4.93,-2.58,2.23,Alameda County
1400000US06001430500,"Census Tract 4305, Alameda County, California",6185,6480,6250,295,-230,65,4.77,-3.55,1.05,Alameda County
1400000US06001430600,"Census Tract 4306, Alameda County, California",6703,6769,6244,66,-525,-459,0.98,-7.76,-6.85,Alameda County
1400000US06001430700,"Census Tract 4307, Alameda County, California",4133,4161,4085,28,-76,-48,0.68,-1.83,-1.16,Alameda County
1400000US06001430800,"Census Tract 4308, Alameda County, California",5410,5652,5814,242,162,404,4.47,2.87,7.47,Alameda County
1400000US06001430900,"Census Tract 4309, Alameda County, California",5384,5388,5214,4,-174,-170,0.07,-3.23,-3.16,Alameda County
1400000US06001431000,"Census Tract 4310, Alameda County, California",2816,2947,3091,131,144,275,4.65,4.89,9.77,Alameda County
1400000US06001431100,"Census Tract 4311, Alameda County, California",3447,3361,3259,-86,-102,-188,-2.49,-3.03,-5.45,Alameda County
1400000US06001431200,"Census Tract 4312, Alameda County, California",5953,5966,5865,13,-101,-88,0.22,-1.69,-1.48,Alameda County
1400000US06001432100,"Census Tract 4321, Alameda County, California",3584,3929,3892,345,-37,308,9.63,-0.94,8.59,Alameda County
1400000US06001432200,"Census Tract 4322, Alameda County, California",4123,4195,3987,72,-208,-136,1.75,-4.96,-3.3,Alameda County
1400000US06001432300,"Census Tract 4323, Alameda County, California",4764,4864,4874,100,10,110,2.1,0.21,2.31,Alameda County
1400000US06001432400,"Census Tract 4324, Alameda County, California",6983,6603,6346,-380,-257,-637,-5.44,-3.89,-9.12,Alameda County
1400000US06001432501,"Census Tract 4325.01, Alameda County, California",4850,4985,4892,135,-93,42,2.78,-1.87,0.87,Alameda County
1400000US06001432502,"Census Tract 4325.02, Alameda County, California",5221,5171,5126,-50,-45,-95,-0.96,-0.87,-1.82,Alameda County
1400000US06001432601,"Census Tract 4326.01, Alameda County, California",3957,4082,4092,125,10,135,3.16,0.24,3.41,Alameda County
1400000US06001432602,"Census Tract 4326.02, Alameda County, California",3409,3031,3123,-378,92,-286,-11.09,3.04,-8.39,Alameda County
1400000US06001432700,"Census Tract 4327, Alameda County, California",2839,2815,2755,-24,-60,-84,-0.85,-2.13,-2.96,Alameda County
1400000US06001432800,"Census Tract 4328, Alameda County, California",3907,4345,3862,438,-483,-45,11.21,-11.12,-1.15,Alameda County
1400000US06001433000,"Census Tract 4330, Alameda County, California",3461,3871,3799,410,-72,338,11.85,-1.86,9.77,Alameda County
1400000US06001433102,"Census Tract 4331.02, Alameda County, California",4536,4443,4445,-93,2,-91,-2.05,0.05,-2.01,Alameda County
1400000US06001433103,"Census Tract 4331.03, Alameda County, California",3486,3699,3552,213,-147,66,6.11,-3.97,1.89,Alameda County
1400000US06001433104,"Census Tract 4331.04, Alameda County, California",4044,3881,4398,-163,517,354,-4.03,13.32,8.75,Alameda County
1400000US06001433200,"Census Tract 4332, Alameda County, California",7947,8171,8120,224,-51,173,2.82,-0.62,2.18,Alameda County
1400000US06001433300,"Census Tract 4333, Alameda County, California",8071,7690,7367,-381,-323,-704,-4.72,-4.2,-8.72,Alameda County
1400000US06001433400,"Census Tract 4334, Alameda County, California",6084,6174,6040,90,-134,-44,1.48,-2.17,-0.72,Alameda County
1400000US06001433500,"Census Tract 4335, Alameda County, California",4671,4597,4311,-74,-286,-360,-1.58,-6.22,-7.71,Alameda County
1400000US06001433600,"Census Tract 4336, Alameda County, California",5966,5945,5844,-21,-101,-122,-0.35,-1.7,-2.04,Alameda County
1400000US06001433700,"Census Tract 4337, Alameda County, California",3180,3376,3125,196,-251,-55,6.16,-7.43,-1.73,Alameda County
1400000US06001433801,"Census Tract 4338.01, Alameda County, California",3598,3516,3528,-82,12,-70,-2.28,0.34,-1.95,Alameda County
1400000US06001433802,"Census Tract 4338.02, Alameda County, California",4155,4425,4301,270,-124,146,6.5,-2.8,3.51,Alameda County
1400000US06001433900,"Census Tract 4339, Alameda County, California",7683,7136,7187,-547,51,-496,-7.12,0.71,-6.46,Alameda County
1400000US06001434000,"Census Tract 4340, Alameda County, California",5073,5239,5166,166,-73,93,3.27,-1.39,1.83,Alameda County
